#sites	hits	cause
1	13	geometry/displaced: y (vertical drift) ~8px   (<li>)
1	13	geometry/displaced: x (horizontal) ~4096px   (<a>)
1	12	unaligned key (we drew as many): <source>
1	12	missing box: <b>
1	12	geometry/mis-sized: x (horizontal) ~128px   (<td>)
1	12	geometry/mis-sized: x (horizontal) ~128px   (<div>)
1	12	geometry/mis-sized: width ~64px   (<picture>)
1	12	geometry/mis-sized: width ~256px   (<tr>)
1	12	geometry/mis-sized: width ~256px   (<p>)
1	12	geometry/displaced: x (horizontal) ~16px   (<img>)
1	12	display: block → inline   (<img>)
1	11	unaligned key (we drew as many): <picture>
1	11	geometry/mis-sized: x (horizontal) ~64px   (<li>)
1	11	geometry/mis-sized: width ~32px   (<h2>)
1	11	geometry/mis-sized: width ~1024px   (<h3>)
1	11	display: inline-block → flex   (<button>)
1	10	missing box: <h2>
1	10	geometry/mis-sized: y (vertical drift) ~8px   (<li>)
1	10	geometry/mis-sized: x (horizontal) ~8px   (<a>)
1	10	geometry/mis-sized: x (horizontal) ~256px   (<p>)
1	10	geometry/mis-sized: width ~32px   (<ol>)
1	10	geometry/mis-sized: width ~32px   (<h6>)
1	10	geometry/mis-sized: width ~32px   (<h4>)
1	10	geometry/mis-sized: width ~256px   (<h2>)
1	10	geometry/mis-sized: width ~16px   (<img>)
1	10	geometry/mis-sized: width ~128px   (<tr>)
1	9	missing box: <g>
1	9	geometry/mis-sized: x (horizontal) ~64px   (<a>)
1	9	geometry/mis-sized: width ~256px   (<span>)
1	9	geometry/displaced: y (vertical drift) ~8192px   (<div>)
1	9	geometry/displaced: x (horizontal) ~32px   (<li>)
1	9	geometry/displaced: x (horizontal) ~32px   (<del>)
1	9	geometry/displaced: x (horizontal) ~128px   (<ins>)
1	8	missing box: <label>
1	8	geometry/mis-sized: x (horizontal) ~32px   (<span>)
1	8	geometry/mis-sized: x (horizontal) ~2048px   (<div>)
1	8	geometry/mis-sized: width ~8px   (<i>)
1	8	geometry/mis-sized: width ~32px   (<td>)
1	8	geometry/mis-sized: width ~1024px   (<img>)
1	8	geometry/mis-sized: height ~8px   (<h1>)
1	8	geometry/mis-sized: height ~32px   (<td>)
1	8	geometry/mis-sized: height ~256px   (<img>)
1	8	geometry/displaced: x (horizontal) ~8px   (<img>)
1	8	geometry/displaced: x (horizontal) ~64px   (<i>)
1	8	display: inline → flex   (<a>)
1	7	geometry/mis-sized: x (horizontal) ~512px   (<li>)
1	7	geometry/mis-sized: width ~16px   (<p>)
1	7	geometry/mis-sized: height ~32768px   (<div>)
1	7	geometry/displaced: x (horizontal) ~8px   (<br>)
1	6	geometry/mis-sized: y (vertical drift) ~16px   (<tr>)
1	6	geometry/mis-sized: width ~64px   (<i>)
1	6	geometry/mis-sized: width ~128px   (<h3>)
1	6	geometry/mis-sized: width ~1024px   (<p>)
1	6	geometry/mis-sized: height ~16px   (<tr>)
1	6	geometry/mis-sized: height ~16px   (<button>)
1	6	geometry/mis-sized: height ~128px   (<figure>)
1	6	geometry/displaced: y (vertical drift) ~64px   (<p>)
1	6	geometry/displaced: y (vertical drift) ~256px   (<center>)
1	6	geometry/displaced: y (vertical drift) ~16px   (<span>)
1	6	geometry/displaced: y (vertical drift) ~128px   (<p>)
1	6	geometry/displaced: x (horizontal) ~8px   (<td>)
1	6	geometry/displaced: x (horizontal) ~64px   (<br>)
1	6	geometry/displaced: x (horizontal) ~2048px   (<a>)
1	6	geometry/displaced: x (horizontal) ~16px   (<b>)
1	6	geometry/displaced: x (horizontal) ~128px   (<li>)
1	5	unaligned key (we drew as many): <h1>
1	5	geometry/mis-sized: y (vertical drift) ~4096px   (<section>)
1	5	geometry/mis-sized: height ~256px   (<video>)
1	5	geometry/displaced: y (vertical drift) ~8px   (<ul>)
1	5	geometry/displaced: y (vertical drift) ~4096px   (<div>)
1	5	geometry/displaced: y (vertical drift) ~16px   (<footer>)
1	4	unaligned key (we drew as many): <p>
1	4	missing box: <td>
1	4	geometry/mis-sized: y (vertical drift) ~16px   (<span>)
1	4	geometry/mis-sized: width ~2048px   (<div>)
1	4	geometry/mis-sized: height ~512px   (<a>)
1	4	geometry/mis-sized: height ~16px   (<tab>)
1	4	geometry/displaced: y (vertical drift) ~64px   (<span>)
1	3	geometry/mis-sized: y (vertical drift) ~8px   (<span>)
1	3	geometry/mis-sized: x (horizontal) ~256px   (<div>)
1	3	geometry/mis-sized: width ~2048px   (<img>)
1	3	geometry/mis-sized: width ~2048px   (<a>)
1	3	geometry/mis-sized: height ~64px   (<tbody>)
1	3	geometry/mis-sized: height ~512px   (<img>)
1	2	missing box: <iframe>
1	2	geometry/mis-sized: y (vertical drift) ~32px   (<img>)
1	2	geometry/mis-sized: x (horizontal) ~8px   (<b>)
1	2	geometry/mis-sized: x (horizontal) ~256px   (<br>)
1	2	geometry/mis-sized: x (horizontal) ~16px   (<b>)
1	2	geometry/mis-sized: x (horizontal) ~128px   (<br>)
